chemin, class, methode, methode_CLOC, methode_LOC, methode_DC	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java, CategoryLineAnnotation, setPaint_Paint, 0.0, 5.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java, CategoryLineAnnotation, getStroke, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java, CategoryLineAnnotation, setStroke_Stroke, 0.0, 5.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java, CategoryLineAnnotation, draw_Graphics2D_CategoryPlot_Rectangle2Ddraw_Graphics2D_CategoryPlot_Rectangle2D, 0.0, 39.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java, CategoryLineAnnotation, equals_Object, 0.0, 28.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java, CategoryLineAnnotation, hashCode, 0.0, 12.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java, CategoryLineAnnotation, clone, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java, CategoryLineAnnotation, writeObject_ObjectOutputStream, 0.0, 5.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, CategoryPointerAnnotation_String_Comparable_doubleCategoryPointerAnnotation_String_Comparable_double, 0.0, 12.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, getAngle, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, setAngle_double, 0.0, 4.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, getTipRadius, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, setTipRadius_double, 0.0, 4.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, getBaseRadius, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, setBaseRadius_double, 0.0, 4.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, getLabelOffset, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, setLabelOffset_double, 0.0, 4.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, getArrowLength, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, setArrowLength_double, 0.0, 4.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, getArrowWidth, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, setArrowWidth_double, 0.0, 4.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, getArrowStroke, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, setArrowStroke_Stroke, 0.0, 5.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, getArrowPaint, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, setArrowPaint_Paint, 0.0, 5.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, draw_Graphics2D_CategoryPlot_Rectangle2Ddraw_Graphics2D_CategoryPlot_Rectangle2D, 3.0, 53.0, 0.056603774	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, equals_Object, 0.0, 37.0, 0.0	
