CC, methode_BC	
4, 0.06818182	
1, 0.25	
1, 0.6666667	
1, 0.33333334	
1, 0.72727275	
1, 0.5	
1, 0.625	
1, 0.3	
1, 0.4	
2, 0.32352942	
1, 0.75	
3, 0.17283951	
1, 0.625	
1, 0.5	
2, 0.26785713	
2, 0.26666668	
2, 0.26666668	
2, 0.125	
2, 0.1904762	
2, 0.125	
2, 0.15789473	
1, 0.5714286	
1, 0.33333334	
2, 0.125	
8, 0.043814432	
1, 0.5	
1, 0.5	
28, 0.0016420361	
1, 0.41666666	
42, 0.0012210013	
3, 0.07526881	
9, 0.013071896	
1, 0.33333334	
1, 0.4	
4, 0.05263158	
1, 0.33333334	
3, 0.14728682	
1, 0.5714286	
1, 0.4	
1, 0.625	
1, 0.5	
1, 0.42857143	
1, 0.5	
1, 0.6	
1, 0.625	
1, 0.625	
1, 0.8	
7, 0.015873017	
1, 0.2	
1, 0.25	
1, 0.6666667	
1, 0.5	
1, 0.6666667	
1, 0.5	
5, 0.1	
6, 0.032051284	
1, 0.33333334	
1, 0.5	
1, 0.5	
1, 0.7	
2, 0.16666667	
1, 0.6666667	
1, 0.6363636	
1, 0.7	
1, 0.5	
1, 0.5	
2, 0.18181819	
1, 0.5	
3, 0.17777778	
1, 0.7	
1, 0.6363636	
1, 0.625	
1, 0.625	
9, 0.0	
2, 0.125	
30, 0.0046511632	
3, 0.10344827	
2, 0.16666667	
2, 0.057692308	
1, 0.1875	
1, 0.4375	
1, 0.0	
2, 0.19354838	
8, 0.016129032	
1, 0.33333334	
1, 0.5714286	
1, 0.5714286	
1, 0.625	
1, 0.6666667	
1, 0.5555556	
1, 0.5714286	
1, 0.5	
1, 0.72727275	
1, 0.5714286	
1, 0.5	
1, 0.5	
1, 0.44444445	
2, 0.16666667	
1, 0.6666667	
1, 0.75	
3, 0.16666667	
3, 0.13888888	
5, 0.047368422	
5, 0.023529412	
20, 0.0036585364	
36, 0.004166667	
2, 0.25	
1, 0.5	
1, 0.4	
4, 0.05357143	
9, 0.01010101	
1, 0.33333334	
1, 0.4	
1, 0.4	
2, 0.125	
3, 0.11111111	
10, 0.02	
3, 0.07692308	
2, 0.09090909	
1, 0.33333334	
1, 0.7368421	
4, 0.08888889	
1, 0.25	
1, 0.5714286	
1, 0.7	
1, 0.78571427	
3, 0.1686747	
1, 0.44444445	
1, 0.25	
1, 0.30769232	
1, 0.625	
1, 0.5	
1, 0.5	
3, 0.14583333	
1, 0.5714286	
3, 0.102564104	
1, 0.8235294	
3, 0.17777778	
1, 0.6666667	
1, 0.5555556	
1, 0.72727275	
1, 0.44444445	
2, 0.125	
23, 0.0026511136	
1, 0.375	
1, 0.375	
3, 0.083333336	
29, 0.009404389	
2, 0.15384616	
8, 0.016129032	
1, 0.33333334	
1, 0.4	
1, 0.47826087	
1, 0.42857143	
5, 0.03636364	
1, 0.33333334	
1, 0.25	
1, 0.4	
1, 0.22222222	
2, 0.0	
1, 0.0	
5, 0.0	
5, 0.0	
5, 0.0	
1, 0.0	
7, 0.0	
3, 0.0	
1, 0.25	
1, 0.5714286	
2, 0.19607843	
1, 0.44444445	
1, 0.25	
1, 0.4	
1, 0.54545456	
1, 0.36363637	
2, 0.16666667	
1, 0.33333334	
1, 0.33333334	
1, 0.44444445	
1, 0.6666667	
1, 0.5	
1, 0.6666667	
5, 0.08	
16, 0.014423077	
6, 0.026666665	
1, 0.33333334	
1, 0.35714287	
1, 0.2857143	
1, 0.78571427	
1, 0.71428573	
1, 0.72727275	
1, 0.64285713	
1, 0.7692308	
11, 0.031698566	
29, 0.0046828436	
1, 0.23076923	
7, 0.024630543	
1, 0.5	
1, 0.5714286	
1, 0.5	
1, 0.4	
7, 0.024630543	
1, 0.375	
1, 0.33333334	
1, 0.4	
1, 0.5	
1, 0.4	
1, 0.5	
1, 0.625	
4, 0.052083332	
5, 0.02857143	
1, 0.25	
2, 0.20833333	
1, 0.5714286	
1, 0.625	
2, 0.1	
2, 0.125	
1, 0.44444445	
1, 0.4	
1, 0.11904762	
1, 0.72727275	
2, 0.2857143	
1, 0.5714286	
1, 0.6363636	
1, 0.5714286	
1, 0.6363636	
1, 0.7	
1, 0.54545456	
1, 0.7	
1, 0.54545456	
1, 0.7	
1, 0.54545456	
1, 0.7	
55, 0.002891448	
1, 0.7	
2, 0.2	
1, 0.5714286	
1, 0.625	
3, 0.15686275	
1, 0.5714286	
1, 0.78571427	
5, 0.06956522	
1, 0.72727275	
1, 0.64285713	
1, 0.6666667	
2, 0.31578946	
1, 0.6666667	
2, 0.28125	
1, 0.5	
2, 0.15	
1, 0.5	
2, 0.23333333	
1, 0.5	
2, 0.21428572	
1, 0.7	
4, 0.13461539	
1, 0.75	
1, 0.64	
1, 0.7	
1, 0.5714286	
1, 0.625	
1, 0.625	
3, 0.12820514	
1, 0.7692308	
1, 0.6363636	
1, 0.5714286	
1, 0.6875	
1, 0.625	
1, 0.84210527	
2, 0.31034482	
2, 0.25	
3, 0.052631576	
1, 0.27272728	
1, 0.5	
1, 0.5	
17, 0.005882353	
1, 0.44444445	
1, 0.4	
1, 0.5	
1, 0.1	
1, 0.625	
1, 0.7	
1, 0.625	
1, 0.5	
1, 0.625	
1, 0.5	
1, 0.6666667	
1, 0.5862069	
1, 0.5714286	
1, 0.6	
1, 0.6666667	
1, 0.5555556	
1, 0.42857143	
1, 0.42857143	
1, 0.6666667	
1, 0.5	
1, 0.5	
1, 0.6666667	
1, 0.5	
1, 0.5	
2, 0.055555556	
4, 0.0	
4, 0.0	
1, 0.3	
1, 0.3	
1, 0.6363636	
1, 0.6363636	
1, 0.6	
1, 0.5	
10, 0.010714286	
2, 0.14285715	
1, 0.25	
1, 0.6666667	
1, 0.625	
1, 0.3	
1, 0.42857143	
1, 0.5	
5, 0.029411767	
5, 0.045454547	
1, 0.25	
1, 0.44444445	
1, 0.5	
1, 0.5	
1, 0.625	
1, 0.5	
1, 0.5714286	
1, 0.33333334	
1, 0.2	
1, 0.44444445	
1, 0.42857143	
7, 0.016233766	
6, 0.014492754	
1, 0.16666667	
1, 0.42857143	
1, 0.4	
1, 0.5	
1, 0.5	
1, 0.5	
1, 0.5	
1, 0.25	
1, 0.33333334	
1, 0.4	
1, 0.33333334	
18, 0.008438818	
37, 0.001772264	
1, 0.11111111	
1, 0.33333334	
17, 0.021486439	
1, 0.41666666	
1, 0.4	
1, 0.5	
1, 0.6363636	
1, 0.4	
1, 0.25	
1, 0.4	
4, 0.065789476	
1, 0.33333334	
18, 0.017045455	
6, 0.020325204	
1, 0.4	
1, 0.42857143	
1, 0.41666666	
1, 0.5	
1, 0.36363637	
1, 0.42857143	
1, 0.25	
19, 0.015941296	
6, 0.020833334	
1, 0.4	
1, 0.42857143	
13, 0.022698613	
16, 0.01343458	
1, 0.4	
1, 0.5714286	
1, 0.625	
1, 0.2857143	
1, 0.625	
1, 0.5	
1, 0.625	
1, 0.45454547	
1, 0.625	
1, 0.625	
1, 0.625	
1, 0.625	
1, 0.6666667	
1, 0.5555556	
1, 0.6666667	
1, 0.6363636	
1, 0.33333334	
1, 0.42857143	
5, 0.025641028	
9, 0.015873017	
1, 0.6	
1, 0.2	
1, 0.27272728	
1, 0.42857143	
1, 0.42857143	
1, 0.5	
6, 0.0148148155	
6, 0.033333335	
1, 0.42857143	
1, 0.42857143	
1, 0.5	
1, 0.5	
1, 0.4	
1, 0.5	
1, 0.5	
1, 0.4	
1, 0.5	
1, 0.5714286	
2, 0.115384616	
2, 0.115384616	
1, 0.44444445	
1, 0.44444445	
1, 0.5	
1, 0.41666666	
1, 0.33333334	
1, 0.33333334	
14, 0.010204082	
3, 0.14666666	
1, 0.5555556	
2, 0.22222222	
6, 0.052083332	
4, 0.09090909	
1, 0.42857143	
1, 0.5714286	
1, 0.5	
1, 0.2857143	
1, 0.625	
1, 0.625	
1, 0.5	
4, 0.06451613	
6, 0.04012346	
1, 0.5	
1, 0.36363637	
1, 0.33333334	
1, 0.33333334	
1, 0.33333334	
1, 0.64285713	
2, 0.14285715	
1, 0.33333334	
1, 0.5555556	
1, 0.5	
1, 0.5833333	
1, 0.5833333	
1, 0.5833333	
1, 0.5833333	
1, 0.61538464	
1, 0.75	
4, 0.077586204	
1, 0.5	
1, 0.24242425	
1, 0.4	
1, 0.4	
1, 0.4	
1, 0.5	
1, 0.4	
1, 0.4	
1, 0.5	
1, 0.2857143	
1, 0.33333334	
1, 0.4	
4, 0.10227273	
2, 0.03846154	
2, 0.05	
2, 0.035714287	
2, 0.01764706	
1, 0.4	
1, 0.4	
1, 0.5	
1, 0.4	
2, 0.11111111	
2, 0.13636364	
1, 0.33333334	
1, 0.42857143	
1, 0.2857143	
1, 0.11764706	
2, 0.115384616	
2, 0.0	
2, 0.041666668	
2, 0.035714287	
1, 0.2857143	
2, 0.115384616	
2, 0.0	
2, 0.0	
2, 0.0	
1, 0.6666667	
17, 0.0	
2, 0.125	
1, 0.4	
1, 0.5	
1, 0.4	
1, 0.5	
1, 0.5	
7, 0.026455026	
2, 0.055555556	
2, 0.045454547	
2, 0.1	
2, 0.09090909	
1, 0.5	
1, 0.4	
1, 0.3	
1, 0.33333334	
1, 0.0	
1, 0.5	
3, 0.060606062	
3, 0.055555556	
1, 0.083333336	
2, 0.035714287	
1, 0.05357143	
1, 0.4	
1, 0.4	
1, 0.4	
4, 0.046875	
2, 0.033333335	
2, 0.14285715	
1, 0.33333334	
1, 0.25	
1, 0.039215688	
1, 0.0	
1, 0.5714286	
1, 0.5714286	
1, 0.4	
1, 0.5	
1, 0.4	
1, 0.4	
7, 0.015306123	
2, 0.045454547	
2, 0.055555556	
1, 0.5	
3, 0.060606062	
2, 0.035714287	
1, 0.0	
2, 0.033333335	
2, 0.033333335	
1, 0.6666667	
1, 0.5555556	
2, 0.16666667	
1, 0.44444445	
1, 0.5714286	
1, 0.2857143	
1, 0.5714286	
1, 0.33333334	
1, 0.625	
1, 0.6666667	
1, 0.5263158	
1, 0.5	
1, 0.3	
7, 0.020408165	
1, 0.22222222	
1, 0.5	
1, 0.625	
1, 0.6	
1, 0.7	
1, 0.7	
1, 0.7	
1, 0.6	
1, 0.4	
1, 0.4	
4, 0.05263158	
1, 0.25	
1, 0.625	
1, 0.7	
1, 0.4	
1, 0.7	
1, 0.6	
1, 0.5	
1, 0.625	
1, 0.5	
1, 0.5714286	
2, 0.13636364	
2, 0.1923077	
